disease,tip
Colorectal Cancer,"Removing the rectum and anus.For rectal cancers that are located near the anus, it might not be possible to remove the cancer completely without hurting the muscles that control bowel movements. In these situations, surgeons may recommend an operation called abdominoperineal resection, also known as APR. With APR, the rectum, anus and some of the colon are removed, as well as nearby tissue and lymph nodes.The surgeon creates an opening in the abdomen and attaches the remaining colon. This is called a colostomy. Waste leaves the body through the opening and collects in a bag that attaches to the abdomen."
Lung Cancer,Wedge resectionto remove a small section of lung that contains the cancer along with a margin of healthy tissue.
Lung Cancer,"Segmental resectionto remove a larger portion of lung, but not an entire lobe."
Lung Cancer,Lobectomyto remove the entire lobe of one lung.
Lung Cancer,Pneumonectomyto remove an entire lung.
Prostate Cancer,"Laparoscopic prostatectomy.During a laparoscopic prostatectomy for prostate cancer, a surgeon makes several small cuts in the belly. The surgeon puts surgical tools through the cuts. The surgeon uses the tools to remove the prostate."
Prostate Cancer,"Robotic prostatectomy.During arobotic prostatectomyfor prostate cancer, a surgeon uses hand controls to guide robotic arms. The arms hold the surgical tools. The surgeon sits at a console to use the hand controls that move the robotic arms. Just like in a laparoscopic prostatectomy, the surgeon makes several small cuts in the belly. The surgeon guides the robotic arms to put surgical tools through the cuts in the belly to remove the prostate. Most prostate cancer operations use robotic prostatectomy."
Prostate Cancer,"Open prostatectomy.During open prostatectomy for prostate cancer, a surgeon makes one large cut in the lower belly. The surgeon removes the prostate through this large cut. This procedure also is called retropubic prostatectomy. This way of doing prostate cancer surgery is not very common. But it might be the right choice in some situations."
Skin Cancer,Skin creams.Some medicines for skin cancer come as skin creams that you apply to the area of cancer.
Skin Cancer,Curettage and electrodessication.This treatment involves removing the top of the skin cancer with a scraping tool called a curet. Then an electric needle is used to sear the base of the cancer.
Skin Cancer,Photodynamic therapy.Photodynamic therapy is a two-stage treatment that combines light energy with a medicine called a photosensitizer. The photosensitizer kills the cancer cells when activated by light.
Skin Cancer,Surgery.Skin cancer surgery often involves removing the cancer and some of the healthy tissue around it.
Skin Cancer,"Mohs surgery.Mohs surgery involves removing the skin cancer layer by layer. Each time a layer is removed, the surgeon uses a microscope to look for cancer cells. The surgery continues until no cancer cells are left. This kind of surgery lets the surgeon take out the cancer without removing too much of the healthy skin around it."
Skin Cancer,Radiation therapy.Radiation therapy treats cancer with powerful energy beams.
Skin Cancer,Chemotherapy.Chemotherapy treats cancer with strong medicines.
Skin Cancer,"Targeted therapy.Targeted therapy for cancer is a treatment that uses medicines that attack specific chemicals in the cancer cells. By blocking these chemicals, targeted treatments can cause cancer cells to die."
Skin Cancer,Immunotherapy.Immunotherapy for cancer is a treatment with medicine that helps the body's immune system kill cancer cells. The immune system fights off diseases by attacking germs and other cells that shouldn't be in the body. Cancer cells survive by hiding from the immune system. Immunotherapy helps the immune system cells find and kill the cancer cells.
Multiple Sclerosis ,"Corticosteroids.These medicines reduce nerve inflammation. For MS, the corticosteroids used are oral prednisone and intravenous methylprednisolone. Side effects may include insomnia, increased blood pressure, increased blood glucose levels, mood swings and fluid retention."
Multiple Sclerosis ,"Plasma exchange.This treatment involves removing the liquid part of your blood, called plasma, and separating it from your blood cells. The blood cells are then mixed with a protein solution called albumin and put back into your body. Plasma exchange may be used if your symptoms are new, severe and haven't responded to steroids. Plasma exchange also is known as plasmapheresis."
Diabetes ,"Healthy eating.Yourdiabetes dietis simply a healthy-eating plan that will help you control your blood sugar. You'll need to focus your diet on more fruits, vegetables, lean proteins and whole grains. These are foods that are high in nutrition and fiber and low in fat and calories. You'll also cut down on saturated fats, refined carbohydrates and sweets. In fact, it's the best eating plan for the entire family. Sugary foods are OK once in a while. They must be counted as part of your meal plan.Understanding what and how much to eat can be a challenge. A registered dietitian can help you create a meal plan that fits your health goals, food preferences and lifestyle. This will likely include carbohydrate counting, especially if you have type 1 diabetes or use insulin as part of your treatment."
Diabetes ,"Physical activity.Everyone needs regular aerobic activity. This includes people who have diabetes. Physical activity lowers your blood sugar level by moving sugar into your cells, where it's used for energy. Physical activity also makes your body more sensitive to insulin. That means your body needs less insulin to transport sugar to your cells.Get your provider's OK to exercise. Then choose activities you enjoy, such as walking, swimming or biking. What's most important is making physical activity part of your daily routine.Aim for at least 30 minutes or more of moderate physical activity most days of the week, or at least 150 minutes of moderate physical activity a week. Bouts of activity can be a few minutes during the day. If you haven't been active for a while, start slowly and build up slowly. Also avoid sitting for too long. Try to get up and move if you've been sitting for more than 30 minutes."
Illinois Diabetes Prevention and Control Program ,"Healthy eating.Yourdiabetes dietis simply a healthy-eating plan that will help you control your blood sugar. You'll need to focus your diet on more fruits, vegetables, lean proteins and whole grains. These are foods that are high in nutrition and fiber and low in fat and calories. You'll also cut down on saturated fats, refined carbohydrates and sweets. In fact, it's the best eating plan for the entire family. Sugary foods are OK once in a while. They must be counted as part of your meal plan.Understanding what and how much to eat can be a challenge. A registered dietitian can help you create a meal plan that fits your health goals, food preferences and lifestyle. This will likely include carbohydrate counting, especially if you have type 1 diabetes or use insulin as part of your treatment."
Illinois Diabetes Prevention and Control Program ,"Physical activity.Everyone needs regular aerobic activity. This includes people who have diabetes. Physical activity lowers your blood sugar level by moving sugar into your cells, where it's used for energy. Physical activity also makes your body more sensitive to insulin. That means your body needs less insulin to transport sugar to your cells.Get your provider's OK to exercise. Then choose activities you enjoy, such as walking, swimming or biking. What's most important is making physical activity part of your daily routine.Aim for at least 30 minutes or more of moderate physical activity most days of the week, or at least 150 minutes of moderate physical activity a week. Bouts of activity can be a few minutes during the day. If you haven't been active for a while, start slowly and build up slowly. Also avoid sitting for too long. Try to get up and move if you've been sitting for more than 30 minutes."
Heart & Stroke,"EmergencyIVmedicine.AnIVmedicine that can break up a clot has to be given within 4.5 hours from when symptoms began. The sooner the medicine is given, the better. Quick treatment improves your chances of survival and may reduce complications.AnIVinjection of recombinant tissue plasminogen activator (TPA) is the gold standard treatment for ischemic stroke. The two types ofTPAare alteplase (Activase) and tenecteplase (TNKase). An injection ofTPAis usually given through a vein in the arm within the first three hours. Sometimes,TPAcan be given up to 4.5 hours after stroke symptoms started.This medicine restores blood flow by dissolving the blood clot causing the stroke. By quickly removing the cause of the stroke, it may help people recover more fully from a stroke. Your healthcare professional considers certain risks, such as potential bleeding in the brain, to determine whetherTPAis appropriate for you."
Heart & Stroke,"Emergency endovascular procedures.Healthcare professionals sometimes treat ischemic strokes directly inside the blocked blood vessel. Endovascular therapy has been shown to improve outcomes and reduce long-term disability after ischemic stroke. These procedures must be performed as soon as possible:Medicines delivered directly to the brain.During this procedure, a long, thin tube called a catheter is inserted through an artery in the groin. The catheter is moved through the arteries to the brain to deliverTPAdirectly where the stroke is happening. The time window for this treatment is somewhat longer than for injectedTPAbut is still limited.Removing the clot with a stent retriever.A device attached to a catheter can directly remove the clot from the blocked blood vessel in the brain. This procedure is especially helpful for people with large clots that can't be completely dissolved withTPA. This procedure often is performed in combination with injectedTPA."
Heart & Stroke,"Medicines delivered directly to the brain.During this procedure, a long, thin tube called a catheter is inserted through an artery in the groin. The catheter is moved through the arteries to the brain to deliverTPAdirectly where the stroke is happening. The time window for this treatment is somewhat longer than for injectedTPAbut is still limited."
Heart & Stroke,Removing the clot with a stent retriever.A device attached to a catheter can directly remove the clot from the blocked blood vessel in the brain. This procedure is especially helpful for people with large clots that can't be completely dissolved withTPA. This procedure often is performed in combination with injectedTPA.
Cholesterol ,Atorvastatin (Lipitor).
Cholesterol ,Fluvastatin (Lescol XL).
Cholesterol ,Lovastatin (Altoprev).
Cholesterol ,"Pitavastatin (Livalo, Zypitamag)."
Cholesterol ,Pravastatin.
Cholesterol ,Rosuvastatin (Crestor).
Cholesterol ,Simvastatin (Zocor).
Heart Disease ,"Lifestyle changes such as eating a diet low in salt and saturated fat, getting more exercise, and not smoking."
Heart Disease ,Medicines.
Heart Disease ,A heart procedure.
Heart Disease ,Heart surgery.
Diabetes ,"Healthy eating.Yourdiabetes dietis simply a healthy-eating plan that will help you control your blood sugar. You'll need to focus your diet on more fruits, vegetables, lean proteins and whole grains. These are foods that are high in nutrition and fiber and low in fat and calories. You'll also cut down on saturated fats, refined carbohydrates and sweets. In fact, it's the best eating plan for the entire family. Sugary foods are OK once in a while. They must be counted as part of your meal plan.Understanding what and how much to eat can be a challenge. A registered dietitian can help you create a meal plan that fits your health goals, food preferences and lifestyle. This will likely include carbohydrate counting, especially if you have type 1 diabetes or use insulin as part of your treatment."
Diabetes ,"Physical activity.Everyone needs regular aerobic activity. This includes people who have diabetes. Physical activity lowers your blood sugar level by moving sugar into your cells, where it's used for energy. Physical activity also makes your body more sensitive to insulin. That means your body needs less insulin to transport sugar to your cells.Get your provider's OK to exercise. Then choose activities you enjoy, such as walking, swimming or biking. What's most important is making physical activity part of your daily routine.Aim for at least 30 minutes or more of moderate physical activity most days of the week, or at least 150 minutes of moderate physical activity a week. Bouts of activity can be a few minutes during the day. If you haven't been active for a while, start slowly and build up slowly. Also avoid sitting for too long. Try to get up and move if you've been sitting for more than 30 minutes."
Obesity ,"Cutting calories.The key to weight loss is reducing how many calories you take in. The first step is to review your typical eating and drinking habits. You can see how many calories you usually consume and where you can cut back. You and your healthcare professional can decide how many calories you need to take in each day to lose weight. A typical amount is 1,200 to 1,500 calories for women and 1,500 to 1,800 for men."
Obesity ,"Feeling full on less.Some foods — such as desserts, candies, fats and processed foods — contain a lot of calories for a small portion. In contrast, fruits and vegetables provide a larger portion size with fewer calories. By eating larger portions of foods that have fewer calories, you can reduce hunger pangs and take in fewer calories. You also may feel better about your meal, which contributes to how satisfied you feel overall."
Obesity ,"Making healthier choices.To make your overall diet healthier, eat more plant-based foods. These include fruits, vegetables and whole grains. Also emphasize lean sources of protein — such as beans, lentils and soy — and lean meats. If you like fish, try to include fish twice a week. Limit salt and added sugar. Eat small amounts of fats, and make sure they come from heart-healthy sources, such as olive, canola and nut oils."
Obesity ,"Restricting certain foods.Certain diets limit the amount of a particular food group, such as high-carbohydrate or full-fat foods. Ask your healthcare professional which diet plans are effective and which might be helpful for you. Drinking sugar-sweetened beverages is a sure way to consume more calories than you intended. Limiting these drinks or eliminating them altogether is a good place to start cutting calories."
Obesity ,"Meal replacements.These plans suggest replacing one or two meals each day with various products — such as low-calorie shakes or meal bars — and eating healthy snacks. Then you have a healthy, balanced third meal that's low in fat and calories. In the short term, this type of diet can help you lose weight. But these diets likely won't teach you how to change your overall lifestyle. So you may have to stay on the diet if you want to keep off extra weight."
Stroke ,"EmergencyIVmedicine.AnIVmedicine that can break up a clot has to be given within 4.5 hours from when symptoms began. The sooner the medicine is given, the better. Quick treatment improves your chances of survival and may reduce complications.AnIVinjection of recombinant tissue plasminogen activator (TPA) is the gold standard treatment for ischemic stroke. The two types ofTPAare alteplase (Activase) and tenecteplase (TNKase). An injection ofTPAis usually given through a vein in the arm within the first three hours. Sometimes,TPAcan be given up to 4.5 hours after stroke symptoms started.This medicine restores blood flow by dissolving the blood clot causing the stroke. By quickly removing the cause of the stroke, it may help people recover more fully from a stroke. Your healthcare professional considers certain risks, such as potential bleeding in the brain, to determine whetherTPAis appropriate for you."
Stroke ,"Emergency endovascular procedures.Healthcare professionals sometimes treat ischemic strokes directly inside the blocked blood vessel. Endovascular therapy has been shown to improve outcomes and reduce long-term disability after ischemic stroke. These procedures must be performed as soon as possible:Medicines delivered directly to the brain.During this procedure, a long, thin tube called a catheter is inserted through an artery in the groin. The catheter is moved through the arteries to the brain to deliverTPAdirectly where the stroke is happening. The time window for this treatment is somewhat longer than for injectedTPAbut is still limited.Removing the clot with a stent retriever.A device attached to a catheter can directly remove the clot from the blocked blood vessel in the brain. This procedure is especially helpful for people with large clots that can't be completely dissolved withTPA. This procedure often is performed in combination with injectedTPA."
Stroke ,"Medicines delivered directly to the brain.During this procedure, a long, thin tube called a catheter is inserted through an artery in the groin. The catheter is moved through the arteries to the brain to deliverTPAdirectly where the stroke is happening. The time window for this treatment is somewhat longer than for injectedTPAbut is still limited."
Stroke ,Removing the clot with a stent retriever.A device attached to a catheter can directly remove the clot from the blocked blood vessel in the brain. This procedure is especially helpful for people with large clots that can't be completely dissolved withTPA. This procedure often is performed in combination with injectedTPA.
HIV/AIDS ,"Account for medicine resistance, called viral genotype."
HIV/AIDS ,Keep from creating new medicine-resistant strains ofHIV.
HIV/AIDS ,Suppress the virus in the blood as much as possible.
HIV Corrections Initiative ,"Account for medicine resistance, called viral genotype."
HIV Corrections Initiative ,Keep from creating new medicine-resistant strains ofHIV.
HIV Corrections Initiative ,Suppress the virus in the blood as much as possible.
Preventing HIV Infections ,"Account for medicine resistance, called viral genotype."
Preventing HIV Infections ,Keep from creating new medicine-resistant strains ofHIV.
Preventing HIV Infections ,Suppress the virus in the blood as much as possible.
COVID-19,Fever reducers.
COVID-19,"Pain relievers, such as ibuprofen (Advil, Motrin IB, others) or acetaminophen (Tylenol, others)."
COVID-19,Cough syrup or medicine.
Influenza (Flu) ,"Drink plenty of liquids.Choose water, juice and warm soups to help keep fluids in your body."
Influenza (Flu) ,"Rest.Get more sleep to help your immune system fight infection. You may need to change your activity level, depending on your symptoms."
Influenza (Flu) ,"Consider pain relievers.Use acetaminophen (Tylenol, others) or ibuprofen (Advil, Motrin IB, others) for fever, headache or achiness associated with influenza. Children and teens recovering from flu-like symptoms should never take aspirin because of the risk of Reye's syndrome, a rare but potentially fatal condition."
Patient Isolation Procedures,Fever reducers.
Patient Isolation Procedures,"Pain relievers, such as ibuprofen (Advil, Motrin IB, others) or acetaminophen (Tylenol, others)."
Patient Isolation Procedures,Cough syrup or medicine.
Sexually Transmitted Diseases (STD) ,"Antibiotics.Antibiotics, often in a single dose, can cure manySTIscaused by bacteria or parasites, such as gonorrhea, syphilis, chlamydia and trichomoniasis.Once you start antibiotic treatment, you need to finish the prescription. If you don't think you'll be able to take medicine as prescribed, tell your health care professional. A shorter, simpler course of treatment may be available.Also, it's important to avoid sexual activity until seven days after you've completed antibiotic treatment and any sores have healed.Experts also suggest people diagnosed with chlamydia be retested three months after treatment because there's a high chance of reinfection."
Sexually Transmitted Diseases (STD) ,"Antiviral drugs.If you have herpes orHIV, your doctor may prescribe medicine that keeps a viral infection from getting worse, called an antiviral medicine.You'll generally have fewer herpes recurrences if you take what's called daily suppressive therapy with a prescription antiviral medicine. But it's still possible to give your partner herpes.Antiviral medicines can keepHIVinfection in check for many years. But you will still carry the virus and can still spread it, though the risk is lower.The sooner you startHIVtreatment, the more effective it is. If you take your medicines as directed, it's possible to lower the viral load in the blood so that it can't be found. At that point, you won't spread the virus to sex partners."
Chlamydia ,When did your symptoms begin?
Chlamydia ,Does anything make them better or worse?
Chlamydia ,What medicines and supplements do you take regularly?
Gonorrhea ,"Your symptoms,if you have any, including those that may seem unrelated to the reason for which you scheduled the appointment, and when they began."
Gonorrhea ,"All medicine, vitamins or other supplementsyou take, including doses."
Gonorrhea ,Questions to askyour healthcare professional.
Syphilis ,Have regular blood tests and exams to make sure the penicillin treatment is working. The follow-up tests you need depend on the stage of syphilis you have.
Syphilis ,"Do not have sexual contact with new partners until the treatment is finished. Blood tests should show that the infection has been cured, and any sores should be gone."
Syphilis ,Tell your sex partners so they can be tested and get treatment if needed.
Syphilis ,Get tested for HIV.
Syphilis Action Toolkit,Have regular blood tests and exams to make sure the penicillin treatment is working. The follow-up tests you need depend on the stage of syphilis you have.
Syphilis Action Toolkit,"Do not have sexual contact with new partners until the treatment is finished. Blood tests should show that the infection has been cured, and any sores should be gone."
Syphilis Action Toolkit,Tell your sex partners so they can be tested and get treatment if needed.
Syphilis Action Toolkit,Get tested for HIV.
Expedited Partner Therapy (EPT) ,"Antibiotics.Antibiotics, often in a single dose, can cure manySTIscaused by bacteria or parasites, such as gonorrhea, syphilis, chlamydia and trichomoniasis.Once you start antibiotic treatment, you need to finish the prescription. If you don't think you'll be able to take medicine as prescribed, tell your health care professional. A shorter, simpler course of treatment may be available.Also, it's important to avoid sexual activity until seven days after you've completed antibiotic treatment and any sores have healed.Experts also suggest people diagnosed with chlamydia be retested three months after treatment because there's a high chance of reinfection."
Expedited Partner Therapy (EPT) ,"Antiviral drugs.If you have herpes orHIV, your doctor may prescribe medicine that keeps a viral infection from getting worse, called an antiviral medicine.You'll generally have fewer herpes recurrences if you take what's called daily suppressive therapy with a prescription antiviral medicine. But it's still possible to give your partner herpes.Antiviral medicines can keepHIVinfection in check for many years. But you will still carry the virus and can still spread it, though the risk is lower.The sooner you startHIVtreatment, the more effective it is. If you take your medicines as directed, it's possible to lower the viral load in the blood so that it can't be found. At that point, you won't spread the virus to sex partners."
Anaplasmosis,Gloves.Wear medical gloves or similar gloves if possible to protect your hands.
Anaplasmosis,"Tweezers.Use fine-tipped tweezers to grab the tick firmly near its head or mouth, and as close to the skin as possible."
Anaplasmosis,"Removal.Pull the tick's body away your skin steadily and slowly without jerking or twisting it. If parts of the mouth remain, remove them with clean tweezers."
Anaplasmosis,"Disposal.Kill the tick by putting it in alcohol. Do not crush the tick to avoid exposure to possible bacteria. The dead tick can be flushed, lightly wrapped in tape before throwing in the trash or stored in a freezer."
Anaplasmosis,"Storage.A tick can be tested at a later date if you suspect infection. Place the tick in a container, label it with the date, and place it in the freezer."
Anaplasmosis,Cleanup.Use soap and water to wash your hands after handling the tick and around the tick bite. Clean the site and your hands with rubbing alcohol.
Ehrlichiosis ,Gloves.Wear medical gloves or similar gloves if possible to protect your hands.
Ehrlichiosis ,"Tweezers.Use fine-tipped tweezers to grab the tick firmly near its head or mouth, and as close to the skin as possible."
Ehrlichiosis ,"Removal.Pull the tick's body away your skin steadily and slowly without jerking or twisting it. If parts of the mouth remain, remove them with clean tweezers."
Ehrlichiosis ,"Disposal.Kill the tick by putting it in alcohol. Do not crush the tick to avoid exposure to possible bacteria. The dead tick can be flushed, lightly wrapped in tape before throwing in the trash or stored in a freezer."
Ehrlichiosis ,"Storage.A tick can be tested at a later date if you suspect infection. Place the tick in a container, label it with the date, and place it in the freezer."
Ehrlichiosis ,Cleanup.Use soap and water to wash your hands after handling the tick and around the tick bite. Clean the site and your hands with rubbing alcohol.
Lyme Disease ,Long-lasting arthritis.
Lyme Disease ,Disease affecting the nervous system.
Lyme Disease ,Disease affecting the heart.
Lyme Disease Data ,Long-lasting arthritis.
Lyme Disease Data ,Disease affecting the nervous system.
Lyme Disease Data ,Disease affecting the heart.
Lyme Disease Task Force,Long-lasting arthritis.
Lyme Disease Task Force,Disease affecting the nervous system.
Lyme Disease Task Force,Disease affecting the heart.
Rocky Mountain Spotted Fever Data ,"Gamma globulin.A protein called gamma globulin is given through a vein. This treatment lowers inflammation in the blood vessels. It can lower the risk of problems with the heart artery.With treatment, a child might start to improve soon after one gamma globulin treatment. Without treatment, Kawasaki disease lasts about 12 days. However, heart complications might last longer.After getting gamma globulin, wait at least 11 months to get a live vaccine, such as the chickenpox or measles vaccine. Gamma globulin can affect how well these vaccines work."
Rocky Mountain Spotted Fever Data ,"Aspirin.High doses of aspirin might help treat inflammation. Aspirin also can decrease pain, joint swelling and fever. The aspirin dose will likely be lowered once the fever has been gone for 48 hours.For most other conditions, aspirin shouldn't be given to children. Aspirin has been linked to Reye's syndrome, a rare life-threatening condition, in children or teenagers who have the flu or chickenpox.A healthcare professional needs to oversee giving aspirin to children with Kawasaki disease. Children who get flu or chickenpox during treatment might need to stop taking aspirin."
Tick Surveillance Map,Long-lasting arthritis.
Tick Surveillance Map,Disease affecting the nervous system.
Tick Surveillance Map,Disease affecting the heart.
Viral Hepatitis ,Rest.
Viral Hepatitis ,Proper nutrition.
Viral Hepatitis ,Plenty of fluids.
Viral Hepatitis ,Close monitoring while your body fights the infection.
Hepatitis A,Rest.Many people with hepatitis A feel tired and sick and have less energy.
Hepatitis A,"Get adequate food and liquid.Eat a balanced healthy diet. Nausea can make it difficult to eat. Try snacking throughout the day rather than eating full meals. To get enough calories, eat more high-calorie foods. For instance, drink fruit juice or milk rather than water. Drinking plenty of fluids is important to prevent dehydration, especially if vomiting or diarrhea occurs."
Hepatitis A,"Avoid alcohol and use medications with care.Your liver may have difficulty processing medications and alcohol. If you have hepatitis, don't drink alcohol. It can cause liver damage. Talk to your health care provider about all the medications you take, including medications available without a prescription."
Pediatric Acute Hepatitis,Rest.Many people with hepatitis A feel tired and sick and have less energy.
Pediatric Acute Hepatitis,"Get adequate food and liquid.Eat a balanced healthy diet. Nausea can make it difficult to eat. Try snacking throughout the day rather than eating full meals. To get enough calories, eat more high-calorie foods. For instance, drink fruit juice or milk rather than water. Drinking plenty of fluids is important to prevent dehydration, especially if vomiting or diarrhea occurs."
Pediatric Acute Hepatitis,"Avoid alcohol and use medications with care.Your liver may have difficulty processing medications and alcohol. If you have hepatitis, don't drink alcohol. It can cause liver damage. Talk to your health care provider about all the medications you take, including medications available without a prescription."
